"","totaldist","Device_ID","UTC_Date","Species","Winter","year_day","mode_hld_farm","shoot_date","totaldist_log","events_total","shoot_freq","indiv_dist","Disturbance2","shoot_date_sc","events_total_sc","shoot_freq_sc","indiv_dist_sc","Sex","Tag_Winter","Disturbance_shoot","group_id"
"1",0.103695853,"BARN13","03/11/2019","GBG","2019",307,"Farm_ 1","2",-2.266293153,428,2.377777778,0,"No_Shoot",-2.339015278,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"2",0.049264295,"BARN13","04/11/2019","GBG","2019",308,"Farm_ 1","3",-3.01055571,428,2.377777778,0,"No_Shoot",-2.317116613,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"3",0.077175718,"BARN13","05/11/2019","GBG","2019",309,"Farm_ 1","4",-2.561670403,428,2.377777778,0,"No_Shoot",-2.295217948,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"4",0.316763579,"BARN13","06/11/2019","GBG","2019",310,"Farm_ 1","5",-1.149599592,428,2.377777778,0,"No_Shoot",-2.273319283,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"5",0.129952141,"BARN13","09/11/2019","GBG","2019",313,"Farm_ 1","8",-2.040589041,428,2.377777778,0,"No_Shoot",-2.207623288,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"6",0.081985096,"BARN13","11/11/2019","GBG","2019",315,"Farm_ 1","10",-2.501217808,428,2.377777778,0,"No_Shoot",-2.163825958,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"7",0.045421434,"BARN13","12/11/2019","GBG","2019",316,"Farm_ 1","11",-3.091771175,428,2.377777778,0,"No_Shoot",-2.141927293,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"8",0.052780502,"BARN13","13/11/2019","GBG","2019",317,"Farm_ 1","12",-2.941613429,428,2.377777778,0,"No_Shoot",-2.120028628,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"9",0.113187684,"BARN13","14/11/2019","GBG","2019",318,"Farm_ 1","13",-2.178707921,428,2.377777778,0,"No_Shoot",-2.098129963,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"10",0.150969085,"BARN13","15/11/2019","GBG","2019",319,"Farm_ 1","14",-1.890680201,428,2.377777778,0,"No_Shoot",-2.076231298,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"11",0.208392202,"BARN13","16/11/2019","GBG","2019",320,"Farm_ 1","15",-1.568333388,428,2.377777778,0,"No_Shoot",-2.054332633,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"12",0.134218581,"BARN13","17/11/2019","GBG","2019",321,"Farm_ 1","16",-2.008285606,428,2.377777778,0,"No_Shoot",-2.032433968,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"13",0.133104802,"BARN08","03/11/2019","GBG","2019",307,"Farm_ 1","2",-2.016618477,428,2.377777778,0,"No_Shoot",-2.339015278,-0.235862727,-0.235862727,-0.612766304,"M","BARN08_2019","No_Shoot",82
"14",0.050836672,"BARN08","04/11/2019","GBG","2019",308,"Farm_ 1","3",-2.979137289,428,2.377777778,0,"No_Shoot",-2.317116613,-0.235862727,-0.235862727,-0.612766304,"M","BARN08_2019","No_Shoot",82
