"","X.1","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gbg_dist_points"
"1",1,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,153.533154929434
"2",2,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,107.825254515562
"3",3,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,146.289390466039
"4",4,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,162.618347934938
"5",5,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,130.768485121144
"6",6,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,179.876476492505
"7",7,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,253.926739186907
"8",8,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,380.269673505316
"9",9,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,326.889353418304
"10",10,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,721.037233703102
"11",11,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,222.0058455661
"12",12,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,302.095710789346
"13",13,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,301.303847436219
"14",14,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,175.498074776003
"15",15,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,141.023259510623
"16",16,"16145",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,33.0172742103408
"17",17,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,739.243385293665
"18",18,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,806.453635901469
"19",19,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,786.638443284654
"20",20,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,945.824827619318
"21",21,"16145",2019,"post","14",TRUE,"freshwater",1,1,"Used",10,373.668159027321
"22",22,"16145",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,192.467688917657
"23",23,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,76.0282523237885
"24",24,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,321.404200874143
"25",25,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,1076.56004525237
"26",26,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,480.753522242646
"27",27,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,288.875560215534
"28",28,"16145",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,266.804324732752
"29",29,"16145",2019,"post","11",TRUE,"bog",1,1,"Used",10,253.747128448627
"30",30,"16145",2019,"post","11",TRUE,"bog",1,1,"Used",10,294.983971658813
"31",31,"16195",2019,"post","11",TRUE,"bog",1,1,"Used",10,1045.58236050838
"32",32,"16195",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,246.729554692541
"33",33,"16195",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,243.38698521318
"34",34,"16195",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,471.860741341444
"35",35,"16195",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,561.951390334388
"36",36,"16195",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,573.751529534375
"37",37,"16195",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,142.053119133825
"38",38,"16195",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,683.565811539217
"39",39,"16195",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,851.894123380113
"40",40,"16195",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,230.854727396886
"41",41,"16195",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,1106.76911733104
"42",42,"16195",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,926.573305496734
"43",43,"16195",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,573.439706631662
"44",44,"16195",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,136.196727932461
"45",45,"194234",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,284.913926179823
"46",46,"194234",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,192.710575738758
"47",47,"194234",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,193.23392463125
"48",48,"194234",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,469.894839288896
"49",49,"194235",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,439.585533243785
"50",50,"194235",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,438.735331925428
"51",51,"194235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,171.360068132149
"52",52,"194235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,148.422560806346
"53",53,"194235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,180.284812525796
"54",54,"194235",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,260.809300093589
"55",55,"194238",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,79.5350937752711
"56",56,"194238",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,84.3143014667453
