"","Date_ID","spatial_overlap","Raw_Farm_Name","FIELD_ID","fix_gps","Shoot_ID1","Shoot_ID2","Shoot_ID1_time","Shoot_ID2_time","Shoot_ID1_shots","Shoot_ID2_shots","Shoot_field"
"1","BARN10_07/11/2019",1,"craigens","CP56","CP55",15,NA,2019-11-07 12:10:00,NA,2,NA,"No"
"2","BARN12_09/11/2019",1,"craigens","CP10","CP58",21,NA,2019-11-09 12:10:00,NA,1,NA,"No"
"3","16145_11/11/2019",1,"craigens","CP56","AO31",24,NA,2019-11-11 11:05:00,NA,1,NA,"No"
"4","BARN09_11/11/2019",1,"ballimartin","EO28","EO19",26,NA,2019-11-11 14:05:00,NA,1,NA,"No"
"5","16145_19/11/2019",1,"leorin","LR6","LR8",41,NA,2019-11-19 12:55:00,NA,16,NA,"No"
"6","16145_21/11/2019",1,"leorin","LR6","LR8",51,NA,2019-11-21 15:10:00,NA,2,NA,"No"
"7","16145_21/11/2019",1,"leorin","LR6","LR22",51,NA,2019-11-21 15:10:00,NA,2,NA,"No"
"8","16145_22/11/2019",1,"home farm","OV8","EO4",53,NA,2019-11-22 11:30:00,NA,1,NA,"No"
"9","16145_23/11/2019",1,"home farm","OV2","BE29",58,NA,2019-11-23 11:15:00,NA,10,NA,"No"
"10","16145_29/11/2019",1,"leorin","LR6","LR8",73,NA,2019-11-29 15:16:00,NA,3,NA,"No"
"11","16145_30/11/2019",1,"kintra","LR6","LR4",77,NA,2019-11-30 13:24:00,NA,1,NA,"No"
"12","BARN12_03/12/2019",1,"ballinaby","BB7","BB5",85,NA,2019-12-03 14:40:00,NA,6,NA,"No"
"13","BARN12_03/12/2019",1,"ballinaby","BB7","BB2",85,NA,2019-12-03 14:40:00,NA,6,NA,"No"
"14","BARN11_09/12/2019",1,"coull","CO11","CO21",96,NA,2019-12-09 12:10:00,NA,1,NA,"No"
"15","16145_09/12/2019",1,"leorin","LR6",NA,98,NA,2019-12-09 14:00:00,NA,1,NA,"No"
