"","Date_ID","spatial_overlap","Raw_Farm_Name","fix_gps","FIELD_ID","Shoot_ID1","Shoot_ID2","Shoot_ID1_time","Shoot_ID2_time","Shoot_ID1_shots","Shoot_ID2_shots","Shoot_field"
"1","UCOL01_2012-12-28",1,"ballinaby no.1","BB2","BB4",54,NA,2012-12-28 11:35:00,NA,1,NA,"No"
"2","UCOL01_2013-01-03",1,"ballinaby no.1",NA,"BB6",63,NA,2013-01-03 12:35:00,NA,1,NA,"No"
"3","UCOL04_2013-03-07",1,"eorrabus","EO9","EO27",461,NA,2013-03-07 12:20:00,NA,4,NA,"No"
"4","UCOL04_2013-03-12",1,"eorrabus","SC15","EO9",500,NA,2013-03-12 17:30:00,NA,1,NA,"No"
"5","BLO21_2013-11-29",1,NA,"CP1","CP8",721,NA,2013-11-29 13:15:00,NA,1,NA,"No"
"6","BLO20_2014-01-27",1,"sanaigmhor","SG19","SG10",1238,NA,2014-01-27 08:35:00,NA,1,NA,"No"
"7","BLO27_2014-01-28",1,"coille","GG2","GG34",1257,NA,2014-01-28 09:20:00,NA,1,NA,"No"
"8","BLO20_2014-01-28",1,"coille","GG2","GG34",1257,NA,2014-01-28 09:20:00,NA,1,NA,"No"
"9","BLO27_2014-01-28",1,"coille","GG9","GG34",1257,NA,2014-01-28 09:20:00,NA,1,NA,"No"
"10","BLO18_2014-01-28",1,"kilchiaran farm",NA,"KI17",1264,NA,2014-01-28 11:20:00,NA,1,NA,"No"
"11","BLO27_2014-01-31",1,"coille","GG4","GG34",1286,NA,2014-01-31 08:50:00,NA,1,NA,"No"
"12","BLO20_2014-01-31",1,"coille","GG4","GG34",1286,NA,2014-01-31 08:50:00,NA,1,NA,"No"
"13","BLO27_2014-02-03",1,"coille","GG11","GG34",1314,1315,2014-02-03 13:15:00,2014-02-03 13:35:00,1,9,"No"
"14","BLO27_2014-02-03",1,"coille","GG32","GG34",1314,NA,2014-02-03 13:15:00,NA,1,NA,"No"
"15","BLO27_2014-02-04",1,"coille","GG5","GG34",1341,NA,2014-02-04 13:45:00,NA,1,NA,"No"
"16","BLO27_2014-02-04",1,"coille","GG9","GG34",1341,NA,2014-02-04 13:45:00,NA,1,NA,"No"
"17","BLO27_2014-02-05",1,"coille","GG11","GG34",1347,NA,2014-02-05 12:00:00,NA,1,NA,"No"
"18","BLO20_2014-02-05",1,"coille","LK13","GG34",1347,NA,2014-02-05 12:00:00,NA,1,NA,"No"
"19","BLO21_2014-02-05",1,"uiskentuie farm","CP1","CP26",1367,NA,2014-02-05 16:30:00,NA,2,NA,"No"
"20","BLO21_2014-02-05",1,"killinallan, corsapol and craigens","CP1","CP57",1366,1367,2014-02-05 16:05:00,2014-02-05 16:30:00,1,2,"No"
"21","BLO21_2014-02-11",1,"conisby","BH10","BH5",1437,1438,2014-02-11 14:15:00,2014-02-11 14:35:00,1,2,"No"
"22","BLO21_2014-02-11",1,"conisby","BH9","BH5",1440,NA,2014-02-11 16:10:00,NA,1,NA,"No"
"23","BLO21_2014-02-17",1,"the croft","BH3","BH3",1486,NA,2014-02-17 15:35:00,NA,1,NA,"Yes"
"24","BLO19_2014-02-20",1,"kilchiaran farm",NA,"KI16",1514,NA,2014-02-20 15:30:00,NA,2,NA,"No"
"25","BLO27_2014-02-21",1,"coille","GG4","GG34",1519,NA,2014-02-21 13:20:00,NA,1,NA,"No"
"26","BLO27_2014-02-21",1,"coille","GG34","GG34",1519,NA,2014-02-21 13:20:00,NA,1,NA,"Yes"
"27","BLO23_2014-02-21",1,"coille","GG51","GG34",1519,NA,2014-02-21 13:20:00,NA,1,NA,"No"
"28","BLO19_2014-02-21",1,"kilchiaran farm","KI5","KI17",1524,NA,2014-02-21 15:10:00,NA,1,NA,"No"
"29","BLO20_2014-03-07",1,"coille","GG3","GG34",1657,NA,2014-03-07 11:15:00,NA,1,NA,"No"
"30","BLO27_2014-03-07",1,"coille","GG3","GG34",1657,NA,2014-03-07 11:15:00,NA,1,NA,"No"
"31","BLO20_2014-03-10",1,"ballinaby no.2","GG34","LK8",1700,NA,2014-03-10 12:15:00,NA,1,NA,"No"
"32","BLO19_2014-03-10",1,"kilchiaran farm","KI8","KI16",1707,NA,2014-03-10 16:25:00,NA,1,NA,"No"
"33","BLO27_2014-03-11",1,"coille","GG3","GG34",1711,NA,2014-03-11 11:55:00,NA,1,NA,"No"
"34","BLO20_2014-03-11",1,"coille","GG3","GG34",1711,NA,2014-03-11 11:55:00,NA,1,NA,"No"
"35","BLO27_2014-03-11",1,"coille","GG4","GG34",1711,NA,2014-03-11 11:55:00,NA,1,NA,"No"
"36","BLO27_2014-03-15",1,"coille","GG43","GG4",1765,NA,2014-03-15 08:30:00,NA,3,NA,"No"
