,Field_code,hld_id,hld_farm
191,WE9,72,WESTER ELLISTER
192,WE8,72,WESTER ELLISTER
193,WE7,72,WESTER ELLISTER
194,WE6,72,WESTER ELLISTER
195,WE4,72,WESTER ELLISTER
196,WE30,181,CNOC MOR
197,WE3,72,WESTER ELLISTER
198,WE29,264,CROFT NUMBER 3
199,WE23,72,WESTER ELLISTER
200,WE22,72,WESTER ELLISTER
201,WE21,230,SUPERHOLDING
202,WE20,230,SUPERHOLDING
203,WE2,72,WESTER ELLISTER
204,WE16,264,CROFT NUMBER 3
205,WE15,72,WESTER ELLISTER
206,WE14,72,WESTER ELLISTER
207,WE13,72,WESTER ELLISTER
208,WE12,72,WESTER ELLISTER
209,WE11,72,WESTER ELLISTER
210,WE10,72,WESTER ELLISTER
211,WE1,180,EASTER ELLISTER
212,US9,24,BLACK PARK
213,US8,196,UISKENTUIE
214,US7,196,UISKENTUIE
215,US6,196,UISKENTUIE
216,US5,234,BLACKROCK2
217,US4,234,BLACKROCK2
218,US31,196,UISKENTUIE
219,US30,119,LYRABUS CROFT
220,US3,234,BLACKROCK2
221,US29,24,BLACK PARK
222,US28,234,BLACKROCK2
223,US27,196,UISKENTUIE
224,US26,119,LYRABUS CROFT
225,US25,24,BLACK PARK
226,US24,24,BLACK PARK
227,US23,196,UISKENTUIE
228,US22,196,UISKENTUIE
229,US21,196,UISKENTUIE
230,US20,196,UISKENTUIE
231,US2,234,BLACKROCK2
232,US19,196,UISKENTUIE
233,US18,24,BLACK PARK
234,US17,24,BLACK PARK
235,US16,196,UISKENTUIE
236,US15,196,UISKENTUIE
237,US14,24,BLACK PARK
238,US13,196,UISKENTUIE
239,US12,196,UISKENTUIE
240,US11,196,UISKENTUIE
241,US10,196,UISKENTUIE
242,US1,234,BLACKROCK2
243,UK9,34,UPPER KILLEYAN
244,UK8,34,UPPER KILLEYAN
245,UK7,39,UPPER KILLEYAN
246,UK6,34,UPPER KILLEYAN
247,UK5,240,UPPER KILLEYAN
248,UK4,240,UPPER KILLEYAN
249,UK30,76,KINNABUS
250,UK3,39,UPPER KILLEYAN
251,UK24,240,UPPER KILLEYAN
252,UK23,76,KINNABUS
253,UK22,76,KINNABUS
254,UK21,76,KINNABUS
255,UK20,76,KINNABUS
256,UK2,39,UPPER KILLEYAN
257,UK19,76,KINNABUS
258,UK18,76,KINNABUS
